Final adopted property tax rates by county and tax area,,
"Taken from Utah State Tax Commission, Property Tax Division, ""2025 Tax Rates by Tax Area""",,
https://files.tax.utah.gov/propertytax/tax-rates/area-rates/taxarearates2025.pdf,,
,,
cnty_name,area_num,rate_final
Piute,005-0000,0.006802
Rich,011-0000,0.005645
Rich,012-0000,0.004761
Rich,013-0000,0.004269
Rich,014-0000,0.004108
Rich,015-0000,0.004108
Rich,025-0000,0.004108
Rich,035-0000,0.004108
Rich,111-0000,0.005177
Rich,112-0000,0.004134
Rich,113-0000,0.003903
Rich,114-0000,0.003917
Rich,115-0000,0.003917
Rich,117-0000,0.003903
Rich,118-0000,0.005177
Rich,119-0000,0.004134
Rich,123-0000,0.003903
Salt Lake,013-0000,0.00924
Salt Lake,014-0000,0.010704
Salt Lake,019-0000,0.012155
Salt Lake,020-0000,0.011984
Salt Lake,021-0000,0.008035
Salt Lake,024-0000,0.011579
Salt Lake,026-0000,0.013694
Salt Lake,027-0000,0.012034
Salt Lake,028-0000,0.012374
Salt Lake,029-0000,0.011621
Salt Lake,030-0000,0.011049
Salt Lake,031-0000,0.012719
Salt Lake,034-0000,0.012406
Salt Lake,035-0000,0.00967
Salt Lake,036-0000,0.01157
Salt Lake,037-0000,0.009002
Salt Lake,038-0000,0.009167
Salt Lake,039-0000,0.008827
Salt Lake,040-0000,0.011788
Salt Lake,042-0000,0.010052
Salt Lake,043-0000,0.01218
Salt Lake,044-0000,0.01141
Salt Lake,045-0000,0.00872
Salt Lake,045-9904,0.00872
Salt Lake,051-0000,0.009369
Salt Lake,055-0000,0.009348
Salt Lake,055-9900,0.009348
Salt Lake,056-0000,0.009168
Salt Lake,061-0000,0.010979
Salt Lake,062-0000,0.011402
Salt Lake,063-0000,0.011817
Salt Lake,064-0000,0.012153
Salt Lake,066-0000,0.010217
Salt Lake,070-0000,0.010826
Salt Lake,070-9902,0.010826
Salt Lake,071-0000,0.010486
Salt Lake,080-0000,0.009933
Salt Lake,082-0000,0.009593
Salt Lake,083-0000,0.009708
Salt Lake,084-0000,0.010361
San Juan,001-0000,0.009923
San Juan,002-0000,0.010098
San Juan,003-0000,0.010136
San Juan,003-9900,0.010136
San Juan,004-0000,0.011872
San Juan,005-0000,0.01146
San Juan,006-0000,0.009614
San Juan,010-0000,0.009614
San Juan,011-0000,0.010466
San Juan,012-0000,0.010466
Sanpete,001-0000,0.010321
Sanpete,001-9500,0.010321
Sanpete,002-0000,0.009909
Sanpete,002-9900,0.009909
Sanpete,003-0000,0.009682
Sanpete,004-0000,0.010572
Sanpete,004-9501,0.010572
Sanpete,005-0000,0.009514
Sanpete,006-0000,0.01056
Sanpete,007-0000,0.009623
Sanpete,008-0000,0.009189
Sanpete,009-0000,0.008178
Sanpete,010-0000,0.008848
Sanpete,011-0000,0.008307
Sanpete,012-0000,0.008556
Sanpete,013-0000,0.008952
Sanpete,014-0000,0.007856
Sanpete,015-0000,0.007468
Sanpete,020-0000,0.007468
Sanpete,021-0000,0.007468
Sanpete,050-0000,0.010321
Sanpete,075-0000,0.008848
Sanpete,076-0000,0.008848
Sanpete,080-0000,0.008178
Sanpete,085-0000,0.007468
Sevier,002-0000,0.00828
Sevier,003-0000,0.008695
Sevier,004-0000,0.008635
Sevier,005-0000,0.008442
Sevier,006-0000,0.008673
Sevier,007-0000,0.008102
Sevier,008-0000,0.009006
Sevier,009-0000,0.008457
Sevier,010-0000,0.009709
Sevier,010-9501,0.009709
Sevier,010-9900,0.009709
Sevier,011-0000,0.010516
Sevier,012-0000,0.008597
Sevier,013-0000,0.0079
Sevier,023-0000,0.008648
Sevier,024-0000,0.010516
Sevier,024-9500,0.010516
Sevier,025-0000,0.0079
Sevier,026-0000,0.0079
Summit,001-0000,0.006285
Summit,002-0000,0.006318
Summit,003-0000,0.005529
Summit,004-0000,0.005811
Summit,005-0000,0.006006
Summit,006-0000,0.005508
Summit,007-0000,0.005508
Summit,008-0000,0.005508
Summit,009-0000,0.005508
Summit,010-0000,0.005612
Summit,011-0000,0.005612
Summit,012-0000,0.005421
Summit,013-0000,0.005914
Summit,015-0000,0.011201
Summit,016-0000,0.006245
Summit,017-0000,0.005391
Summit,018-0000,0.005399
Summit,019-0000,0.010935
Summit,021-0000,0.011011
Summit,023-0000,0.005369
Summit,024-0000,0.004931
Summit,025-0000,0.010666
Summit,026-0000,0.005294
Summit,027-0000,0.006468
Summit,028-0000,0.005612
Summit,030-0000,0.005914
Summit,031-0000,0.004856
Summit,032-0000,0.010591
Summit,033-0000,0.005178
Summit,034-0000,0.005578
Summit,035-0000,0.00588
Summit,036-0000,0.00474
Summit,037-0000,0.010475
Summit,038-0000,0.004665
Summit,039-0000,0.0104
Summit,040-0000,0.005671
Summit,041-0000,0.00591
Summit,042-0000,0.00569
Summit,044-0000,0.004869
Summit,045-0000,0.011126
Summit,046-0000,0.005416
Summit,047-0000,0.005391
Summit,048-0000,0.004358
Summit,050-0000,0.004366
Summit,051-0000,0.005085
Summit,054-0000,0.004869
Summit,056-0000,0.004791
Summit,058-0000,0.006468
Summit,060-0000,0.005508
Summit,062-0000,0.005431
Summit,063-0000,0.005622
Summit,064-0000,0.005688
Summit,070-0000,0.006109
Summit,071-0000,0.006115
Summit,072-0000,0.006193
Summit,073-0000,0.005924
Summit,074-0000,0.006285
Summit,075-0000,0.006285
Summit,076-0000,0.005992
Tooele,001-0000,0.011989
Tooele,001-9900,0.011989
Tooele,002-0000,0.011117
Tooele,002-9601,0.011117
Tooele,003-0000,0.012339
Tooele,004-0000,0.012346
Tooele,005-0000,0.009951
Tooele,006-0000,0.011777
Tooele,007-0000,0.014385
Tooele,008-0000,0.011989
Tooele,009-0000,0.010235
Tooele,010-0000,0.011513
Tooele,011-0000,0.010406
Tooele,011-9500,0.010406
Tooele,012-0000,0.011117
Tooele,013-0000,0.011569
Tooele,014-0000,0.011117
Tooele,016-0000,0.010695
Tooele,017-0000,0.010459
Tooele,019-0000,0.011277
Tooele,020-0000,0.011989
Tooele,021-0000,0.011989
Tooele,022-0000,0.011989
Tooele,022-9901,0.011989
Tooele,023-0000,0.012407
Tooele,024-0000,0.012339
Tooele,025-0000,0.011777
Tooele,026-0000,0.011513
Tooele,027-0000,0.011277
Tooele,028-0000,0.011751
Tooele,029-0000,0.01088
Tooele,030-0000,0.011117
Tooele,031-0000,0.011593
Tooele,032-0000,0.009951
Tooele,033-0000,0.011117
Tooele,033-9600,0.011117
Tooele,034-0000,0.011513
Tooele,035-0000,0.011989
Tooele,036-0000,0.011513
Tooele,037-0000,0.014385
Tooele,038-0000,0.011117
Tooele,043-0000,0.011989
Tooele,044-0000,0.011117
Tooele,045-0000,0.011513
Tooele,046-0000,0.011513
Tooele,047-0000,0.011277
Tooele,048-0000,0.011117
Tooele,048-0001,0.011117
Tooele,048-0002,0.011117
Tooele,049-0000,0.011553
Tooele,050-0000,0.011497
Tooele,052-0000,0.011497
Tooele,053-0000,0.011497
Tooele,054-0000,0.011261
Tooele,055-0000,0.011765
Tooele,056-0000,0.011501
Tooele,057-0000,0.011581
Tooele,058-0000,0.011501
Tooele,059-0000,0.015497
Tooele,060-0000,0.011497
Tooele,061-0000,0.011497
Tooele,062-0000,0.011497
Tooele,063-0000,0.011117
Tooele,064-0000,0.011117
Tooele,065-0000,0.011117
Tooele,066-0000,0.011117
Tooele,082-0000,0.011117
Tooele,083-0000,0.011513
