county_id,county_name,cnty_txbl_val,cnty_calculated_levy,schl_txbl_val,schl_calculated_levy,city_txbl_val,city_calculated_levy,spec_txbl_val,spec_calculated_levy,tot_txbl_val,tot_calculated_levy,avg_eff_prop_tax_rate,avg_eff_prop_tax_rate_pct
119,Jack,1756533272.0,7714799.872936,1520398947.0,16045296.0,270578876.0,1890067.0,3474648924.0,5342926.0,3474648924.0,30993088.872936,0.008919775652400846,0.8919775652400846
120,Jackson,3779461637.0,16421825.588388,2827746252.0,27417783.0,463754452.0,1335811.0,10908795035.0,10060246.0,10908795035.0,55235665.588387996,0.005063406674263176,0.5063406674263176
121,Jasper,3590358124.0,20504535.256656,2750062732.0,25975298.0,665576490.0,1982968.0,3570326030.0,1376406.0,3590358124.0,49839207.256656,0.013881402783611566,1.3881402783611565
122,Jeff Davis,424951204.0,5836705.0,331148759.0,2369454.0,0.0,0.0,0.0,0.0,424951204.0,8206159.0,0.019310826567278064,1.9310826567278065
123,Jefferson,34653126311.0,123711661.0,29146241826.0,314917005.0,20250890871.0,127375715.0,91517840653.0,134363598.0,91517840653.0,700367979.0,0.007652802710408373,0.7652802710408373
124,Jim Hogg,407453010.0,4842864.160957,392589211.0,3911366.0,0.0,0.0,1098203900.0,2061809.0,1098203900.0,10816039.160957001,0.009848844245551306,0.9848844245551306
125,Jim Wells,2861157021.0,21968417.785682,2256979963.0,25177309.0,1113292354.0,6728328.0,3544569722.0,1935796.0,3544569722.0,55809850.785682,0.015745169417683696,1.5745169417683695
126,Johnson,26773224435.0,104223430.642,19786166257.0,239631802.0,15822388821.0,102632124.0,31771288527.0,16410383.0,31771288527.0,462897739.642,0.014569687321577105,1.4569687321577105
127,Jones,1383390145.0,7419025.0,929072577.0,9394516.0,471969604.0,4160540.0,1090789653.0,3846711.0,1383390145.0,24820792.0,0.017942004350479164,1.7942004350479164
128,Karnes,10437039649.0,25159319.288606,10273514134.0,86979804.0,502811171.0,2524333.0,46434749464.0,11664624.0,46434749464.0,126328080.288606,0.0027205504874435863,0.27205504874435865
129,Kaufman,28398913870.0,117887583.199075,21873113762.0,262673380.0,13110650237.0,69612230.0,37719849507.0,93206712.0,37719849507.0,543379905.199075,0.01440567532217315,1.440567532217315
130,Kendall,12408104853.0,46778555.0,9380732510.0,93585446.0,4531245953.0,20203650.0,12999305682.0,8557970.0,12999305682.0,169125621.0,0.013010358025058712,1.3010358025058713
131,Kenedy,715761104.0,5726089.0,854664295.0,7908833.0,0.0,0.0,1911476568.0,1033889.0,1911476568.0,14668811.0,0.007674073146158494,0.7674073146158494
132,Kent,478348737.0,4265436.1055,527384504.0,4419277.0,15608993.0,147934.0,0.0,0.0,527384504.0,8832647.1055,0.016748021677747284,1.6748021677747285
133,Kerr,9239399106.0,37179713.57652,6441634333.0,52340153.0,3945888679.0,22224115.0,21569076744.0,2833970.0,21569076744.0,114577951.57652,0.0053121398257527565,0.5312139825752756
134,Kimble,1171729178.0,5114387.0,1002367977.0,6643977.0,211274319.0,755200.0,2343458356.0,3738927.0,2343458356.0,16252491.0,0.006935259147400015,0.6935259147400015
135,King,205014520.0,1916270.54684,204139740.0,1638925.0,0.0,0.0,205354080.0,20535.0,205354080.0,3575730.54684,0.017412512801498758,1.7412512801498758
136,Kinney,1187145179.0,5546342.664177,1025583710.0,6839618.0,59214148.0,290576.0,1343482482.0,809831.0,1343482482.0,13486367.664177,0.010038365103280149,1.003836510328015
137,Kleberg,2362537394.0,18235717.0,1817310070.0,20681060.0,1316862272.0,10128674.0,2202291782.0,1151934.0,2362537394.0,50197385.0,0.021247234066001836,2.1247234066001837
138,Knox,367094759.0,2191298.996458,430412528.0,5625396.0,90044420.0,834161.0,1440822324.0,2368914.0,1440822324.0,11019769.996458,0.0076482504559375495,0.764825045593755
139,Lamar,6282848557.0,19244365.0,5337953058.0,52530733.0,3450993616.0,16035300.0,7809796271.0,5179769.0,7809796271.0,92990167.0,0.011906862070819825,1.1906862070819824
140,Lamb,1519427694.0,11547650.0,1209715994.0,11364612.0,407455771.0,2990947.0,1578418470.0,46563.0,1578418470.0,25949772.0,0.01644036261182372,1.644036261182372
141,Lampasas,2780551809.0,15014980.0,1996758140.0,19591816.0,1098597700.0,4387589.0,0.0,0.0,2780551809.0,38994385.0,0.014023973541433121,1.4023973541433121
142,La Salle,9162773440.0,41210673.0,9108667232.0,74752970.0,259639682.0,1891741.0,9169781881.0,389441.0,9169781881.0,118244825.0,0.012895053179509756,1.2895053179509757
143,Lavaca,4440904308.0,24411943.106954,3561768173.0,31118959.0,873482202.0,2939785.0,3498764659.0,3914241.0,4440904308.0,62384928.106954,0.014047798326699276,1.4047798326699275
144,Lee,3274773485.0,16393515.84409,2545988506.0,21387503.0,680386835.0,4025521.0,161420157.0,87331.0,3274773485.0,41893870.84409,0.012792906451693101,1.27929064516931
145,Leon,3301644809.0,13843665.0,2636454029.0,24985790.0,389549063.0,1484540.0,3300433239.0,3186159.0,3301644809.0,43500154.0,0.013175297924665402,1.3175297924665403
